Parameters of the vcal vs. pulse height fits
par[3] + par[2] * TMath::TanH(par[0]*x[0] - par[1])
+2.838156e-03 +8.697381e-01 +9.509903e+02 +2.173916e+02     Pix  2 62
+2.747054e-03 +7.781440e-01 +9.945070e+02 +2.120371e+02     Pix  2 63
+2.614186e-03 +7.134338e-01 +1.026905e+03 +1.563043e+02     Pix  2 64
+2.736369e-03 +8.218739e-01 +9.650630e+02 +2.052008e+02     Pix  2 65
+2.832962e-03 +8.255719e-01 +9.607704e+02 +2.398202e+02     Pix  2 66
+2.860156e-03 +9.521267e-01 +9.061303e+02 +2.732304e+02     Pix  2 67
+2.639536e-03 +7.817717e-01 +9.837978e+02 +1.818515e+02     Pix  2 68
+2.712577e-03 +8.485045e-01 +9.583374e+02 +2.266877e+02     Pix  2 69
+2.574742e-03 +7.554035e-01 +1.006496e+03 +1.777687e+02     Pix  2 70
+2.578098e-03 +7.989764e-01 +9.901849e+02 +1.605718e+02     Pix  2 71
+2.523439e-03 +7.615199e-01 +1.021718e+03 +1.895030e+02     Pix  2 72
+2.531313e-03 +7.587297e-01 +9.957430e+02 +1.863208e+02     Pix  2 73
+2.502982e-03 +7.835194e-01 +1.010683e+03 +1.425443e+02     Pix  2 74
+2.483973e-03 +7.580037e-01 +1.012398e+03 +1.920691e+02     Pix  2 75
+2.555822e-03 +7.598908e-01 +9.966766e+02 +1.848928e+02     Pix  2 76
+2.555088e-03 +7.760567e-01 +9.852954e+02 +1.793227e+02     Pix  2 77
+2.495030e-03 +7.632766e-01 +1.020665e+03 +1.942092e+02     Pix  2 78
+2.586310e-03 +7.674146e-01 +9.840241e+02 +1.970420e+02     Pix  2 79
+2.973938e-03 +8.295956e-01 +9.666439e+02 +2.688192e+02     Pix  3  0
+3.031572e-03 +8.726453e-01 +9.540615e+02 +2.568658e+02     Pix  3  1
+3.169824e-03 +9.546320e-01 +8.887489e+02 +3.111941e+02     Pix  3  2
+2.934249e-03 +8.646834e-01 +9.682849e+02 +2.653827e+02     Pix  3  3
+2.974340e-03 +8.761260e-01 +9.501351e+02 +2.619984e+02     Pix  3  4
+3.017269e-03 +8.869824e-01 +9.492933e+02 +2.386868e+02     Pix  3  5
+2.983413e-03 +8.807008e-01 +9.575614e+02 +2.843757e+02     Pix  3  6
+3.036764e-03 +8.630248e-01 +9.478386e+02 +2.636386e+02     Pix  3  7
+2.933192e-03 +8.250981e-01 +9.708776e+02 +2.237776e+02     Pix  3  8
+2.965371e-03 +8.660841e-01 +9.592057e+02 +2.500445e+02     Pix  3  9
+3.089547e-03 +8.719653e-01 +9.337397e+02 +2.784423e+02     Pix  3 10
+3.022266e-03 +8.441519e-01 +9.470997e+02 +2.352440e+02     Pix  3 11
+3.017216e-03 +8.871804e-01 +9.383446e+02 +2.805154e+02     Pix  3 12
+2.968200e-03 +8.150228e-01 +9.615298e+02 +2.539099e+02     Pix  3 13
+2.940660e-03 +8.594129e-01 +9.614525e+02 +2.164315e+02     Pix  3 14
+2.961352e-03 +8.729654e-01 +9.620050e+02 +2.503452e+02     Pix  3 15
+2.861185e-03 +7.905882e-01 +9.736874e+02 +2.327088e+02     Pix  3 16
+3.122389e-03 +8.836045e-01 +9.232775e+02 +2.548588e+02     Pix  3 17
+3.063524e-03 +8.770658e-01 +9.335903e+02 +2.803741e+02     Pix  3 18
+2.959563e-03 +8.204698e-01 +9.668733e+02 +2.463531e+02     Pix  3 19
+3.175099e-03 +9.499636e-01 +8.929565e+02 +2.851358e+02     Pix  3 20
+2.902579e-03 +8.088282e-01 +9.838825e+02 +2.275548e+02     Pix  3 21
+2.892501e-03 +8.417836e-01 +9.657237e+02 +2.351957e+02     Pix  3 22
+2.974348e-03 +8.759750e-01 +9.408827e+02 +2.377985e+02     Pix  3 23
+3.029974e-03 +9.029380e-01 +9.313855e+02 +2.789945e+02     Pix  3 24
+2.998404e-03 +8.266669e-01 +9.572268e+02 +2.500830e+02     Pix  3 25
+3.106693e-03 +9.246819e-01 +9.142906e+02 +2.627777e+02     Pix  3 26
+3.076139e-03 +8.635655e-01 +9.321092e+02 +2.823493e+02     Pix  3 27
+2.904070e-03 +8.458826e-01 +9.579434e+02 +2.389165e+02     Pix  3 28
+2.853595e-03 +8.300649e-01 +9.787657e+02 +2.015045e+02     Pix  3 29
+2.893204e-03 +8.425092e-01 +9.771252e+02 +2.361807e+02     Pix  3 30
+3.037029e-03 +8.852187e-01 +9.486475e+02 +2.570696e+02     Pix  3 31
+2.929091e-03 +8.598148e-01 +9.529958e+02 +2.253500e+02     Pix  3 32
+3.042440e-03 +8.504841e-01 +9.282776e+02 +2.845502e+02     Pix  3 33
+2.933032e-03 +8.493641e-01 +9.626666e+02 +2.383912e+02     Pix  3 34
+2.854648e-03 +8.746769e-01 +9.580381e+02 +2.207735e+02     Pix  3 35
+2.958406e-03 +8.764651e-01 +9.526661e+02 +2.594174e+02     Pix  3 36
+2.934285e-03 +8.860338e-01 +9.420481e+02 +2.550293e+02     Pix  3 37
+2.965665e-03 +8.606586e-01 +9.521964e+02 +2.255356e+02     Pix  3 38
+2.906995e-03 +8.541022e-01 +9.617501e+02 +2.489022e+02     Pix  3 39
+2.896197e-03 +8.591918e-01 +9.555390e+02 +2.368154e+02     Pix  3 40
+2.966032e-03 +8.776356e-01 +9.439231e+02 +2.362908e+02     Pix  3 41
+2.959095e-03 +8.923369e-01 +9.477617e+02 +2.634631e+02     Pix  3 42
+2.960275e-03 +8.926549e-01 +9.432690e+02 +2.436997e+02     Pix  3 43
+2.825315e-03 +8.347141e-01 +9.660095e+02 +2.115883e+02     Pix  3 44
+2.846559e-03 +8.589334e-01 +9.731468e+02 +2.353982e+02     Pix  3 45
+2.981027e-03 +8.884188e-01 +9.360887e+02 +2.456094e+02     Pix  3 46
+2.834784e-03 +8.340429e-01 +9.789563e+02 +1.973550e+02     Pix  3 47
+2.755009e-03 +7.966541e-01 +1.001713e+03 +2.122066e+02     Pix  3 48
+2.989568e-03 +8.716425e-01 +9.371600e+02 +2.439822e+02     Pix  3 49
+2.790080e-03 +8.356925e-01 +9.648540e+02 +2.171774e+02     Pix  3 50
+2.853087e-03 +8.428362e-01 +9.632470e+02 +2.451970e+02     Pix  3 51
+2.845136e-03 +8.422481e-01 +9.672539e+02 +2.115973e+02     Pix  3 52
+2.796700e-03 +8.324801e-01 +9.727585e+02 +2.051396e+02     Pix  3 53
+2.908387e-03 +8.950835e-01 +9.430830e+02 +2.674344e+02     Pix  3 54
+2.961615e-03 +8.983729e-01 +9.350785e+02 +2.479631e+02     Pix  3 55
+2.931251e-03 +9.143938e-01 +9.343101e+02 +2.359890e+02     Pix  3 56
+2.700729e-03 +7.969339e-01 +1.001190e+03 +2.121372e+02     Pix  3 57
+2.844338e-03 +8.474138e-01 +9.522087e+02 +2.264477e+02     Pix  3 58
+2.668939e-03 +7.936141e-01 +9.939949e+02 +1.857348e+02     Pix  3 59
+2.757166e-03 +8.105916e-01 +9.981701e+02 +2.122881e+02     Pix  3 60
+2.823797e-03 +8.545067e-01 +9.501956e+02 +2.290568e+02     Pix  3 61
+2.635440e-03 +7.978183e-01 +9.986958e+02 +1.715828e+02     Pix  3 62
+2.720585e-03 +8.529399e-01 +9.785044e+02 +2.287988e+02     Pix  3 63
+2.718057e-03 +7.797211e-01 +9.835304e+02 +1.958132e+02     Pix  3 64
+2.636954e-03 +7.887256e-01 +9.994561e+02 +1.723069e+02     Pix  3 65
+2.664098e-03 +8.189243e-01 +9.823690e+02 +2.317794e+02     Pix  3 66
+2.765926e-03 +8.578442e-01 +9.588986e+02 +2.222030e+02     Pix  3 67
+2.635274e-03 +7.852810e-01 +1.000810e+03 +1.773335e+02     Pix  3 68
+2.755554e-03 +9.070391e-01 +9.313614e+02 +2.732206e+02     Pix  3 69
+2.763715e-03 +8.547052e-01 +9.477505e+02 +2.310552e+02     Pix  3 70
+2.630869e-03 +8.047168e-01 +9.874350e+02 +1.809758e+02     Pix  3 71
